city,state
Gorakhpur,Uttar Pradesh
Hamirpur,Uttar Pradesh
Hapur,Uttar Pradesh
Hardoi,Uttar Pradesh
Hathras,Uttar Pradesh
Jalaun,Uttar Pradesh
Jaunpur,Uttar Pradesh
Jhansi,Uttar Pradesh
Kannauj,Uttar Pradesh
Kanpur,Uttar Pradesh
Kasganj,Uttar Pradesh
Kaushambi,Uttar Pradesh
Kushinagar,Uttar Pradesh
Lakhimpur Kheri,Uttar Pradesh
Lalitpur,Uttar Pradesh
Lucknow,Uttar Pradesh
Maharajganj,Uttar Pradesh
Mahoba,Uttar Pradesh
Mainpuri,Uttar Pradesh
Mathura,Uttar Pradesh
Mau,Uttar Pradesh
Meerut,Uttar Pradesh
Mirzapur,Uttar Pradesh
Moradabad,Uttar Pradesh
Muzaffarnagar,Uttar Pradesh
Noida,Uttar Pradesh
Pilibhit,Uttar Pradesh
Prayagraj,Uttar Pradesh
Raebareli,Uttar Pradesh
Rampur,Uttar Pradesh
Saharanpur,Uttar Pradesh
Sambhal,Uttar Pradesh
Sant Kabir Nagar,Uttar Pradesh
Shahjahanpur,Uttar Pradesh
Shamli,Uttar Pradesh
Shravasti,Uttar Pradesh
Siddharthnagar,Uttar Pradesh
Sitapur,Uttar Pradesh
Sonbhadra,Uttar Pradesh
Sultanpur,Uttar Pradesh
Unnao,Uttar Pradesh
Varanasi,Uttar Pradesh
Dehradun,Uttarakhand
Haldwani,Uttarakhand
Haridwar,Uttarakhand
Nainital,Uttarakhand
Rishikesh,Uttarakhand
Roorkee,Uttarakhand
Asansol,West Bengal
Durgapur,West Bengal
Howrah,West Bengal
Kharagpur,West Bengal
Kolkata,West Bengal
Siliguri,West Bengal
